Auftrag;Geometrie;DruckerID;Volumen;Filamentdichte;Wirkleistung
2;Quader;2;125;10;54.668718
2;Quader;2;125;10;54.788448
2;Quader;2;125;10;54.514512
2;Quader;2;125;10;55.330968
2;Quader;2;125;10;55.140894
2;Quader;2;125;10;55.53937
2;Quader;2;125;10;55.852368
2;Quader;2;125;10;55.817608
2;Quader;2;125;10;55.207152
2;Quader;2;125;10;55.84194
2;Quader;2;125;10;55.59862
2;Quader;2;125;10;55.71475
2;Quader;2;125;10;55.3553
2;Quader;2;125;10;55.671616
2;Quader;2;125;10;55.768944
2;Quader;2;125;10;55.998834
2;Quader;2;125;10;55.430982
2;Quader;2;125;10;55.289988
2;Quader;2;125;10;55.169478
2;Quader;2;125;10;56.287579
2;Quader;2;125;10;55.038984
2;Quader;2;125;10;55.241784
2;Quader;2;125;10;55.289988
2;Quader;2;125;10;54.753192
2;Quader;2;125;10;55.003962
2;Quader;2;125;10;54.753192
2;Quader;2;125;10;54.800928
2;Quader;2;125;10;54.490176
2;Quader;2;125;10;54.64563
2;Quader;2;125;10;54.108132
2;Quader;2;125;10;54.371616
2;Quader;2;125;10;53.191215
2;Quader;2;125;10;54.287298
2;Quader;2;125;10;54.24003
2;Quader;2;125;10;54.24003
2;Quader;2;125;10;53.330277
2;Quader;2;125;10;53.330277
2;Quader;2;125;10;53.0607
2;Quader;2;125;10;53.191215
2;Quader;2;125;10;53.260746
2;Quader;2;125;10;53.0607
2;Quader;2;125;10;53.260746
2;Quader;2;125;10;53.376631
2;Quader;2;125;10;53.1993
2;Quader;2;125;10;52.4172
2;Quader;2;125;10;52.9529
2;Quader;2;125;10;53.0838
2;Quader;2;125;10;53.1069
2;Quader;2;125;10;52.326
2;Quader;2;125;10;53.623752
2;Quader;2;125;10;53.07533
2;Quader;2;125;10;53.1531
2;Quader;2;125;10;52.3716
2;Quader;2;125;10;53.13
2;Quader;2;125;10;52.219752
2;Quader;2;125;10;52.814762
2;Quader;2;125;10;52.067752
2;Quader;2;125;10;53.1762
2;Quader;2;125;10;52.197028
2;Quader;2;125;10;52.197028
2;Quader;2;125;10;52.174304
2;Quader;2;125;10;52.791739
2;Quader;2;125;10;52.174304
2;Quader;2;125;10;52.326
2;Quader;2;125;10;52.083408
2;Quader;2;125;10;52.015236
2;Quader;2;125;10;52.569286
2;Quader;2;125;10;51.886568
2;Quader;2;125;10;52.668
2;Quader;2;125;10;52.248042
2;Quader;2;125;10;53.3052
2;Quader;2;125;10;52.469417
2;Quader;2;125;10;52.49244
2;Quader;2;125;10;52.354302
2;Quader;2;125;10;52.964262
2;Quader;2;125;10;51.628928
2;Quader;2;125;10;52.4832
2;Quader;2;125;10;52.5756
2;Quader;2;125;10;52.959445
2;Quader;2;125;10;52.1892
2;Quader;2;125;10;52.711092
2;Quader;2;125;10;52.212
2;Quader;2;125;10;52.537128
2;Quader;2;125;10;52.44532
2;Quader;2;125;10;52.44532
2;Quader;2;125;10;52.595952
2;Quader;2;125;10;52.697792
2;Quader;2;125;10;52.918344
2;Quader;2;125;10;52.835504
2;Quader;2;125;10;52.835504
2;Quader;2;125;10;52.554
2;Quader;2;125;10;52.72918
2;Quader;2;125;10;52.5768
2;Quader;2;125;10;53.3148
2;Quader;2;125;10;52.469716
2;Quader;2;125;10;53.492516
2;Quader;2;125;10;52.469716
2;Quader;2;125;10;53.3841
2;Quader;2;125;10;52.7364
2;Quader;2;125;10;53.631578
2;Quader;2;125;10;53.361
2;Quader;2;125;10;53.3379
2;Quader;2;125;10;53.2686
2;Quader;2;125;10;53.422985
2;Quader;2;125;10;53.2686
2;Quader;2;125;10;52.6224
2;Quader;2;125;10;53.3148
2;Quader;2;125;10;53.515693
2;Quader;2;125;10;53.89461
2;Quader;2;125;10;53.07954
2;Quader;2;125;10;54.025664
2;Quader;2;125;10;53.898075
2;Quader;2;125;10;53.72136
2;Quader;2;125;10;53.871279
2;Quader;2;125;10;54.25035
2;Quader;2;125;10;53.871279
2;Quader;2;125;10;54.095888
2;Quader;2;125;10;53.917941
2;Quader;2;125;10;53.917941
2;Quader;2;125;10;53.19468
2;Quader;2;125;10;53.71674
2;Quader;2;125;10;53.693486
2;Quader;2;125;10;53.978848
2;Quader;2;125;10;52.820684
2;Quader;2;125;10;52.797808
2;Quader;2;125;10;53.71674
2;Quader;2;125;10;53.917941
2;Quader;2;125;10;53.562047
2;Quader;2;125;10;53.739994
2;Quader;2;125;10;53.469339
2;Quader;2;125;10;53.422985
2;Quader;2;125;10;53.707962
2;Quader;2;125;10;52.774932
2;Quader;2;125;10;53.786502
2;Quader;2;125;10;53.065024
